,Scientific.Discipline,Title,First.Name,Middle.Name,Last.Name,Suffix,Citation,Full.Name,,Wiki.page,Gender,Page.Year,page.creator (partial data)
1,Biological Sciences,Prof.,Ronald,,Mumme,,"For outstanding work in avian trade-offs in feather molt and parental care, in the challenges in social life histories, and excellence in teaching and mentoring.",Ronald Mumme,,FALSE,m,,
2,Chemistry  ,Mr.,Glenn,S.,Ruskin,,"For distinguished contributions advancing the discipline of chemistry and science through public communications, policy advocacy, member training, and global collaborations.",Glenn Ruskin,,FALSE,m,,
3,Biological Sciences,Prof.,Ethan,J.,Temeles,,"For distinguished contributions to biology, particularly to behavioral, ecological, and evolutionary aspects of sexual dimorphism and aggression in animals, and plant-pollinator interactions.",Ethan Temeles,,FALSE,m,,
4,Societal Impacts of Science & Engineering,Dr.,Sara,,Brownell,,"For high impact contributions to advancing inclusion, diversity, and equity in STEM education through research and national outreach demonstrating how to support learning in all students, whatever their needs..",Sara Brownell,,FALSE,f,,
5,Geology & Geography,Prof.,Kip,,Hodges,,For foundational and sustained contributions to the understanding of mountain building processes through research in the Himalayan-Tibetan orogenic system.,Kip Hodges,,FALSE,m,,
6,Biological Sciences,Prof.,Diane,Eve,Pataki,,"For distinguished contributions in urban ecology, particularly for interdisciplinary contributions bridging urban planning, health, social sciences, and ecological sciences.",Diane Pataki,,FALSE,f,,
7,Societal Impacts of Science & Engineering,Prof.,Donald,,Siegel,,For distinguished contributions to advancing knowledge and practice of academic-business-government partnerships in technology development and innovation.,Donald Siegel,,FALSE,m,,
8,Anthropology ,Prof.,Joan,B.,Silk,,"For distinguished contributions to the field of primate social evolution, particularly using quantitative approaches to evaluate the adaptive fitness of social bonds for female primates.",Joan Silk,,TRUE,f,2020,tagged as 500 Women in Science edit-a-thon
9,Psychology,Dr.,Anne,,Tsui,,For distinguished contributions to the field of management and organizational behavior particularly for research on the critical role of ethical and credible behavior on the part of leaders in business.,Anne Tsui,,FALSE,f,,
10,Atmospheric & Hydrospheric Sciences,Prof.,Enrique,R.,Vivoni,,"For outstanding achievements integrating scientific, engineering and sustainability principles in water resources management.",Enrique Vivoni,,TRUE,m,2020,
11,Societal Impacts of Science & Engineering,Dr.,David,Edward,Blockstein,,"For distinguished service and dedication to the use of evidence to inform environmental policymaking, enhancing environmental education, increasing public understanding of environmental issues, and engaging scientists in policy.",David Blockstein,,FALSE,m,,
12,Biological Sciences,Dr.,Felicia,,Keesing,,"For distinguished contributions to the field of ecology, particularly our understanding of relationships among biodiversity, zoonotic disease risk, and sustainability.",Felicia Keesing,,FALSE,f,,
13,Biological Sciences,Dr.,Christophe,,Herman,,"For distinguished contributions in the field of bacterial genetics, physiology and biochemistry, particularly showing transient errors in transcription can cause permanent and heritable phenotypic change in a clonal cell population.",Christophe Herman,,FALSE,m,,
14,Medical Sciences,Dr.,Yong,,Li,,"For developing novel strategies for understanding mechanistic processes influencing gene expression including effects from microRNA, exposure to environmental toxicants and their interactive effects with genetic factors on cancer development.",Yong Li,,FALSE,m,,
15,Biological Sciences,Dr.,Katalin,,Karikó,,"For pioneering studies to develop nucleoside-modified mRNA for therapeutic applications, including vaccines, protein therapeutics, and gene therapy.",Katalin Karikó,,TRUE,f,2020,
