,Name,Gender,Wikipage?,Year created,month created,page author,disambiguation notes
32,Paul Martini ,m,no,,,,manual
33,Norman Murray ,m,no,,,,manual
59,John Michael Burke ,m,no,,,,manual
30,Sean Carroll ,m,yes,2006,september,,manual
39,Elizabeth Boyer ,f,no,,,,manual
58,Lisa Brooks ,f,no,,,,manual
70,Peter Dunn ,m,no,,,,manual
83,Paul Hardin ,m,yes,2017,april,mlb96,manual
108,John McCutcheon ,m,no,,,,manual
117,William J. Murphy ,m,no,,,,manual
134,Charles Rock ,m,no,,,,manual
174,Yi Cui ,m,yes,2020,january,nanobroccoli,manual
205,Rory Waterman ,m,yes,2020,september,HickoryOughtShirt,manual
207,Robert F. Williams ,m,no,,,,manual
215,James Bell ,m,no,,,,manual
226,Edward J. Smith ,m,no,,,,manual
229,Stephen Young ,m,no,,,,manual
232,Laura Albert ,f,yes,2019,april,Sjmaher,manual
250,Behrokh Khoshnevis ,m,yes,2007,august,,manual
254,Sanjay Kumar ,m,no,,,,manual
271,Qing Wang ,,no,,,,manual
280,Cliff Wang ,m,yes,2017,april,topcipher,manual
282,Li An ,m,no,,,,manual
283,David Cairns ,m,no,,,,manual
301,Colin Allen ,m,no,,,,manual
303,David Cassidy ,m,yes,2017,june,tidestwo,manual
312,James Allen ,m,yes,2007,october,,manual
338,Colin Phillips ,m,yes,2021,march,elysia,manual
423,Peter Fisher ,m,yes,2017,april,topcipher,manual
441,Talat Shahnaz Rahman ,f,yes,2020,june,david eppstein,
482,David L. Banks ,m,yes,2015,december,solidphase,manual
2,Carl Bernacchi ,m,no,,,,
4,Clarice J. Coyne ,f,no,,,,
5,Geoffrey E. Dahl ,m,no,,,,
6,Roch E. Gaussoin ,m,no,,,,
7,Patrick M. Hayes ,m,no,,,,
8,Thomas J. (TJ) Higgins ,m,no,,,,
10,Shibu Jose ,m,no,,,,
11,Daniel Kliebenstein ,m,no,,,,
12,Rosemary Loria ,f,no,,,,
13,Shailaja K. Mani ,f,no,,,,
14,Rafael Muñoz-Carpena ,m,no,,,,
15,David D. Myrold ,m,no,,,,
16,K. Raja Reddy ,m,no,,,,
17,Jean Ristaino ,f,yes,2016,july,vothlee,as jean beagle ristaino
18,Jeanne Romero-Severson ,f,no,,,,
19,Pablo Juan Ross ,m,no,,,,
20,Jennifer L. Tank ,f,yes,2020,december,jesswade,as jennifer tank
21,William F. Tracy ,m,no,,,,manual
23,Anne Grauer ,f,no,,,,
24,Debbie Guatelli-Steinberg,f,no,,,,manual
25,Edward B. Liebow,m,no,,,,manual
26,J. Terrence McCabe,m,no,,,,
27,Denise Fay-Shen Su,f,no,,,,
28,Nancy Susan Brickhouse ,f,yes,2020,May,F5pillar,manual
31,Timothy Heckman ,m,no,,,,
34,Joan R. Najita ,f,yes,2018,december,Gap9551,manual
35,Liese van Zee ,f,no,,,,
38,Ghassem R. Asrar ,m,yes,2020,november,orchidehouse,manual
43,Forrest M. Hoffman ,m,no,,,,
44,William K. M. Lau ,m,yes,2020,December,CazzyM,as William Ka Ming Lau
45,Zhengyu Liu ,m,no,,,,
47,Sally McFarlane ,f,no,,,,
48,Jerry Schubel ,m,no,,,,
49,Patricia L. Wiberg ,f,yes,2021,July,DaffodilOcean,as Patricia Wiberg
50,Mary Catherine Aime ,f,no,,,,
51,Suresh K. Alahari ,m,no,,,,
52,Gladys Alexandre ,f,no,,,,
53,Craig Reece Allen ,m,no,,,,
54,Sonia M. Altizer ,f,yes,2015,march,Jocelyndurrey,as Sonia Altizer
55,Swathi Arur ,f,no,,,,
57,Elizabeth T. Borer ,f,yes,2019,march,clquinn,as Elizabeth Borer
60,George A. Calin ,m,no,,,,
62,Alice Y. Cheung ,f,yes,2021,january,jesswade,as Alice Cheung
63,Anita S. Chong ,f,no,,,,
64,Gregory P. Copenhaver ,m,no,,,,
66,Dana Crawford ,f,no,,,,
67,Charles F. Delwiche ,m,no,,,,
68,Diana M. Downs ,f,no,,,,
69,Jeffrey Dukes ,m,no,,,,
73,Valerie Eviner ,f,no,,,,
74,Philip Martin Fearnside ,m,yes,2018,september,Brunolima17,as Philip Fearnside
75,Gloria Cruz Ferreira ,f,no,,,,
76,J. Patrick Fitch ,m,no,,,,
78,Christopher Francklyn ,m,no,,,,
79,Serita Frey ,f,no,,,,
81,Michael William Gray ,m,no,,,,
82,Karen Jeanne Guillemin ,f,yes,2019,august,decmanterp,
84,Stacey Lynn Harmer ,f,no,,,,
86,Nancy Marie Hollingsworth ,f,no,,,,
87,Charles Hong ,m,no,,,,
88,Laura Foster Huenneke ,f,yes,2019,march,keilana,
89,Mark O. Huising ,m,no,,,,
91,Kenneth D. Irvine ,m,no,,,,
